id_sentencia,año,tema_principal,tipo_accionante,sujeto_especial_proteccion,edad_aproximada,representacion,tipo_entidad,sector_entidad,derecho_salud,derecho_minimo_vital,debido_proceso,seguridad_social,existe_otro_medio_defensa,medio_es_idoneo,se_alega_perjuicio_irremediable,perjuicio_irremediable_probado,subsidiariedad_cumplida,legitimacion_activa,legitimacion_pasiva,urgencia,afecta_minimo_vital,afecta_salud,caso_involucra_servicio_publico,decision_corte,procedencia_tutela,dias_desde_hecho,hay_inmediatez
t-057,2012,salud,persona_natural,1,63,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,408,1
t-238,2025,salud,persona_natural,1,86,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,6,1
t-191,2024,salud,persona_natural,1,1,representante_legal,economia_mixta,salud,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,concede,1,10,1
t-633,2010,salud,persona_natural,0,,directo,privada,salud,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,niega,0,319,1
t-633,2010,salud,persona_natural,0,,apoderado,privada,salud,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,niega,0,331,1
t-436,2002,salud,persona_natural,1,,directo,pública,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,niega,0,,1
t-409,1995,salud,persona_natural,0,30,directo,pública,otro,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,niega,0,395,1
t-306,2006,salud,persona_natural,1,,directo,pública,salud,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,niega,0,,1
t-462A,2006,salud,persona_natural,1,77,directo,privada,salud,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,niega,0,216,1
t-242,2004,salud,persona_natural,0,40,directo,privada,salud,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,niega,0,254,1
t-857,2009,salud,persona_natural,0,,directo,privada,salud,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,niega,0,94,1
t-370,2023,salud,persona_natural,1,41,directo,,,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,323,1
t-285,2024,salud,persona_natural,1,61,directo,economia_mixta,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,266,1
t-285,2024,salud,persona_natural,1,49,directo,economia_mixta,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,600,1
t-285,2024,salud,persona_natural,1,71,agente_oficioso,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,322,1
t-285,2024,salud,persona_natural,1,70,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,210,1
t-565,2023,salud,persona_natural,0,,directo,público,salud,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,improcedente,0,150,1
t-268,2023,salud,persona_natural,1,75,directo,economia_mixta,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,21,1
t-456,2025,salud,persona_natural,1,56,agente_oficioso,privada,salud,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,niega,0,120,1
t-456,2025,salud,persona_natural,1,65,directo,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,niega,0,253,1
t-017,2023,salud,persona_natural,1,24,agente_oficioso,economia_mixta,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-017,2023,salud,persona_natural,1,14,representante_legal,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-038,2022,salud,persona_natural,1,14,representante_legal,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,niega,0,28,1
t-234,2007,salud,persona_natural,1,,agente_oficioso,privada,salud,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,niega,0,,1
t-096,2011,salud,persona_natural,1,,representante_legal,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,120,1
t-351,2024,salud,persona_natural,1,3,representante_legal,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,60,1
t-351,2024,salud,persona_natural,1,76,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-351,2024,salud,persona_natural,1,61,directo,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,90,1
t-351,2024,salud,persona_natural,1,66,agente_oficioso,economia_mixta,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,240,1
t-935,2010,salud,persona_natural,0,33,directo,privada,salud,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,niega,0,,1
t-941,2007,salud,persona_natural,1,65,directo,pública,otro,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,niega,0,,0
t-1175,2008,salud,persona_natural,1,,directo,privada,salud,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,niega,0,240,1
t-063,2011,salud,persona_natural,1,65,directo,privada,salud,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,niega,0,,1
t-202,2007,salud,persona_natural,1,72,directo,privada,salud,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,niega,0,,0
t-1238,2005,salud,persona_natural,1,26,agente_oficioso,privada,salud,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,concede,1,,1
t-337,2003,salud,persona_natural,1,,agente_oficioso,privada,salud,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,niega,0,130,1
t-377,2024,salud,persona_natural,1,70,directo,,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-377,2024,salud,persona_natural,1,70,agente_oficioso,,salud,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,concede,1,,1
t-377,2024,salud,persona_natural,1,75,directo,,salud,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,concede,1,,1
t-004,2006,salud,persona_natural,1,67,agente_oficioso,privada,salud,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,niega,0,,1
t-578,2003,salud,persona_natural,1,28,directo,privada,salud,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,niega,0,,1
t-207,2007,salud,persona_natural,1,6,representación_legal,privada,salud,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,niega,0,,1
t-549,2023,salud,persona_natural,1,54,directo,economia_mixta,salud,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,concede,1,,1
t-461,2025,salud,persona_natural,1,73,directo,,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-333,2004,salud,persona_natural,0,,directo,privada,salud,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,niega,0,,1
t-322,1994,salud,persona_natural,1,,directo,,salud,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,niega,0,,1
t-453,2003,salud,persona_natural,1,,apoderado,pública,otro,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,niega,0,,0
t-309,2021,salud,persona_natural,1,1,representación_legal,economia_mixta,salud,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-407,2024,salud,persona_natural,1,6,representación_legal,economia_mixta,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,6,1
t-407,2024,salud,persona_natural,1,52,directo,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-644,2001,salud,persona_natural,1,,directo,pública,otro,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,niega,0,,1
t-910,2005,salud,persona_natural,1,4,representación_legal,privada,salud,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,niega,0,,1
